time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,time_bp.1,age_18.0,age_22.0,age_29.0,age_36.5,age_45.0,age_55.0,age_65.0,gender_Female,gender_Male,gender_Prefer not to say,occupation_Currently Out of Work,occupation_Entrepreneur,occupation_Homemaker,occupation_Medical Professional aiding efforts against COVID-19,occupation_Retired/Senior Citizen,occupation_Student in College,occupation_Student in School,occupation_Working Professional,prefer_Complete Physical Attendance,prefer_Work/study from home,certaindays_hw_Maybe,certaindays_hw_No,certaindays_hw_Yes
-0.207190088,-1.118995945,-0.740044671,0.3680799694,0.2004897895,-0.014534581,0.1754345033,0.5489350758,1.077259989,-0.855316677,-1.077188505,-1.357072436,-1.294682529,-0.207190088,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-0.207190088,1.140145353,-0.740044671,1.157302532,-0.60904802,-0.827778993,0.9806514618,-1.782385577,1.077259989,1.539434145,1.694409655,0.8040995026,0.914016586,-0.207190088,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
-0.207190088,-0.365948846,0.6624593423,-0.421142593,-0.60904802,1.611954243,0.1754345033,0.5489350758,0.3489628158,0.7411838714,0.7705436019,0.7805852679,-1.075605069,-0.207190088,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-0.207190088,-0.365948846,0.6624593423,0.3680799694,-1.41858583,-0.014534581,1.78586842,0.5489350758,-0.379334357,-1.653566951,-1.077188505,-1.357072436,0.9160081992,-0.207190088,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-0.207190088,-0.365948846,0.6624593423,-0.421142593,-0.60904802,-0.014534581,0.1754345033,-0.228171809,-0.379334357,0.7411838714,-0.153322451,0.5881960745,0.6949391265,-0.207190088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-1.20492924,-0.365948846,-0.740044671,1.157302532,1.010027599,-1.641023405,-1.434999414,-0.228171809,-1.107631531,-0.057066403,-0.153322451,-1.335695859,0.8941004533,-1.20492924,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
-1.20492924,-1.495519495,-0.740044671,-1.210365155,0.2004897895,0.798709831,0.9806514618,1.32604196,0.3489628158,1.539434145,1.694409655,0.7805852679,0.8960920666,-1.20492924,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-0.207190088,0.3870982537,-0.740044671,0.3680799694,-0.60904802,-0.014534581,-0.629782455,-1.005278693,-1.835928704,-0.855316677,-0.153322451,0.5668194975,0.6949391265,-0.207190088,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-1.20492924,0.3870982537,-0.740044671,-1.210365155,-0.60904802,1.611954243,1.78586842,1.32604196,1.077259989,1.539434145,1.694409655,0.5881960745,-1.097512815,-1.20492924,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-0.207190088,-0.365948846,0.6624593423,-0.421142593,-0.60904802,-0.014534581,0.1754345033,-0.228171809,-1.835928704,-0.057066403,-0.153322451,0.8019618449,0.9160081992,-0.207190088,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
